Nº,Id_Jogo,League,Season,Date,Rodada,Home,Away,Goals_H_HT,Goals_A_HT,TotalGoals_HT,Goals_H_FT,Goals_A_FT,TotalGoals_FT,Goals_H_Minutes,Goals_A_Minutes,Odd_H_HT,Odd_D_HT,Odd_A_HT,Odd_Over05_HT,Odd_Under05_HT,Odd_Over15_HT,Odd_Under15_HT,Odd_Over25_HT,Odd_Under25_HT,Odd_H_FT,Odd_D_FT,Odd_A_FT,Odd_Over05_FT,Odd_Under05_FT,Odd_Over15_FT,Odd_Under15_FT,Odd_Over25_FT,Odd_Under25_FT,Odd_BTTS_Yes,Odd_BTTS_No,Odd_DC_1X,Odd_DC_12,Odd_DC_X2,PPG_Home_Pre,PPG_Away_Pre,PPG_Home,PPG_Away,XG_Home_Pre,XG_Away_Pre,XG_Total_Pre,ShotsOnTarget_H,ShotsOnTarget_A,ShotsOffTarget_H,ShotsOffTarget_A,Shots_H,Shots_A,Corners_H_FT,Corners_A_FT,TotalCorners_FT,Odd_Corners_H,Odd_Corners_D,Odd_Corners_A,Odd_Corners_Over75,Odd_Corners_Under75,Odd_Corners_Over85,Odd_Corners_Under85,Odd_Corners_Over95,Odd_Corners_Under95,Odd_Corners_Over105,Odd_Corners_Under105,Odd_Corners_Over115,Odd_Corners_Under115
22,7380353,Brazil Serie B,2024,2024-05-03 21:30:00,3,Coritiba,Sport Recife,0,1,1,0,1,1,[],['21'],"3,2","1,95",4,"1,48","2,45","3,2","1,3","8,8","1,05","2,38",3,"3,3","1,08","7,5","1,42","2,8","2,4","1,53",2,"1,73","1,25","1,28","1,73",3,3,"1,5",3,"1,39","1,6","2,99",7,4,13,3,20,7,3,3,6,"1,82","8,1","2,4","1,15","4,75","1,24","3,85","1,43","2,7","1,74","2,02","2,2","1,62"
23,7380351,Brazil Serie B,2024,2024-05-04 17:00:00,3,Chapecoense,América Mineiro,1,0,1,2,2,4,"['36', '77']","['79', '83']","3,6","1,95","3,5","1,5","2,4","3,2","1,3","9,1","1,04","2,59","2,98","2,64","1,09",7,"1,45","2,7","2,26","1,52",2,"1,73","1,42","1,3","1,45",3,1,2,1,"1,66","1,06","2,72",4,6,4,3,8,9,2,9,11,"1,95","7,6","2,2","1,18","4,5","1,34","3,1",2,"2,23","2,02","1,74","2,7","1,43"
24,7380346,Brazil Serie B,2024,2024-05-04 18:00:00,3,Vila Nova,Operário PR,0,0,0,1,0,1,['90+5'],[],"2,88","1,91","4,75","1,57","2,25","3,7","1,22",10,"1,03","1,88","3,25","3,85","1,1","6,5","1,51","2,39","2,46","1,44","2,38","1,53","1,22","1,28","1,83",3,3,3,"1,5","1,46","1,63","3,09",4,6,6,5,10,11,4,6,10,"1,67","8,2","2,71","1,18","4,5","1,34","3,1",2,"2,23","2,02","1,74","2,7","1,43"
25,7380349,Brazil Serie B,2024,2024-05-04 21:00:00,3,Ituano,Novorizontino,1,1,2,1,3,4,['45+6'],"['21', '47', '83']",4,"1,95","3,2","1,57","2,25","3,65","1,25","9,9","1,03","3,3","3,1","2,38","1,1","6,5","1,51","2,4","2,4","1,53",2,"1,73","1,62","1,3","1,3",0,0,0,"1,5","1,2","0,78","1,98",6,5,2,16,8,21,1,12,13,"2,14","7,3","2,02","1,2","4,25","1,38","2,9","2,1","2,12","2,12","1,67","2,85","1,38"
26,7380352,Brazil Serie B,2024,2024-05-05 16:00:00,3,Brusque,Goiás,0,1,1,0,2,2,[],"['6', '57']",4,"1,91","3,25","1,57","2,25","3,55","1,25","10,5","1,03","3,1","2,8","2,39","1,11","6,25","1,51","2,4","2,31","1,5","2,1","1,67","1,48","1,33","1,38",3,1,"1,5",2,"1,04","0,64","1,68",6,5,11,4,17,9,4,3,7,"1,95","7,6","2,2","1,18","4,5","1,31","3,15",2,"2,25","1,99","1,73","2,6","1,44"
27,7380355,Brazil Serie B,2024,2024-05-06 19:00:00,3,Ceará,CRB,1,1,2,2,2,4,"['33', '83']","['45+2', '52']","2,88","1,95","4,75","1,5","2,4","3,3","1,28","9,3","1,04","2,05",3,"4,2","1,09",7,"1,45","2,7","2,6","1,48","2,2","1,62","1,25","1,3","1,75",1,0,1,"0,5","2,07","1,48","3,55",3,5,7,6,10,11,7,6,13,"1,57","8,3",3,"1,25","3,7","1,36","2,79","2,25","2,09","2,07","1,67","2,67","1,39"
28,7380347,Brazil Serie B,2024,2024-05-06 20:00:00,3,Ponte Preta,Amazonas,2,0,2,3,0,3,"['8', '33', '98+5']",[],"2,88","1,91",5,"1,55","2,3","3,6","1,25","9,9","1,03",2,"3,1","4,2","1,09",6,"1,5","2,4","2,7","1,44","2,38","1,53","1,25","1,33","1,83",1,1,2,"0,5",0,"0,84","0,84",7,3,8,7,15,10,3,3,6,"1,67","7,7","2,76","1,22",4,"1,41","2,7","2,2","1,99","2,2","1,6","2,9","1,36"
29,7380350,Brazil Serie B,2024,2024-05-06 21:00:00,3,Santos,Guarani,2,0,2,4,1,5,"['22', '43', '50', '54']",['78'],"2,1","2,2",7,"1,44","2,63","3,25","1,33",10,"1,06","1,5","3,8",7,"1,04","9,2","1,36","2,88","2,15","1,67","2,25","1,57","1,11","1,25","2,5",3,0,3,0,"0,95","1,48","2,43",8,3,3,5,11,8,3,7,10,"1,43","9,2","3,54","1,22",4,"1,42","2,75","2,2",2,"2,23","1,61",3,"1,35"
30,7380348,Brazil Serie B,2024,2024-05-07 21:00:00,3,Botafogo SP,Mirassol,0,0,0,0,0,0,[],[],"3,75","1,91","3,4","1,62","2,2",4,"1,22",13,"1,04","2,8","3,1","2,63","1,09","6,5","1,5","2,45","2,6","1,48","2,1","1,67","1,38","1,3","1,53",1,0,1,"0,5","1,04","1,76","2,8",3,3,7,3,10,6,5,5,10,"2,02","8,7","2,02","1,19","3,94","1,38","2,71","2,1","2,04","2,11","1,62","2,79","1,36"
31,7380360,Brazil Serie B,2024,2024-05-08 21:00:00,4,América Mineiro,Vila Nova,2,1,3,3,1,4,"['21', '42', '89']",['10'],"2,38","2,05",6,"1,5","2,5","3,4","1,3",10,"1,06","1,7","3,6","5,25","1,04","7,4","1,38","2,71","2,3","1,6","2,2","1,62","1,16","1,25","1,9",3,0,3,0,"2,22","1,27","3,49",7,4,8,5,15,9,5,2,7,"1,51","8,4","3,24","1,24","3,75","1,45","2,55","2,25","1,98","2,32","1,54","3,1","1,32"
32,7380359,Brazil Serie B,2024,2024-05-10 19:00:00,4,Novorizontino,Ceará,0,1,1,0,3,3,[],"['11', '58', '87']","2,5","2,1",5,"1,48","2,45","3,2","1,3","8,5","1,05","1,85","3,4","4,5","1,08","7,5","1,42","2,8","2,2","1,65",2,"1,73","1,2","1,28","1,85",3,0,"1,5","1,5","1,83","1,57","3,4",7,5,11,4,18,9,8,2,10,"1,51","8,4","3,24","1,19","4,2","1,32","3,1",2,"2,27","1,99","1,73","2,6","1,44"
33,7380356,Brazil Serie B,2024,2024-05-10 21:30:00,4,Goiás,Ituano,1,0,1,2,0,2,"['11', '73']",[],"1,95","2,25","8,5","1,44","2,67","3,04","1,35",8,"1,06","1,4","4,2","9,5","1,07",8,"1,38",3,"2,08","1,73","2,38","1,53","1,07","1,21","2,71",3,0,3,0,"1,81","1,26","3,07",6,2,8,4,14,6,4,4,8,"1,41","9,4","3,64","1,24","3,6","1,4","2,75","2,2","1,99","2,2","1,6","2,9","1,36"
34,7380362,Brazil Serie B,2024,2024-05-10 21:30:00,4,CRB,Chapecoense,2,0,2,2,0,2,"['19', '45+1']",[],"2,6",2,5,"1,5","2,48","3,34","1,3","9,1","1,04","1,83","3,25","4,75","1,09",7,"1,45","2,7","2,35","1,57","2,1","1,67","1,22","1,31","1,82",1,3,2,"1,5","1,74","0,48","2,22",6,4,11,7,17,11,8,3,11,"1,49","7,7","3,45","1,27","3,4","1,45","2,55","2,25","1,9","2,32","1,54","3,1","1,32"
35,7380365,Brazil Serie B,2024,2024-05-11 17:00:00,4,Sport Recife,Brusque,1,0,1,4,1,5,"['43', '62', '74', '87']",['81'],2,"2,25",8,"1,42","2,65","2,95","1,35","8,1","1,06","1,5","3,85","6,1","1,06","8,5","1,36","3,1","2,02","1,73","2,38","1,53","1,1","1,2","2,45",3,0,3,0,"1,25","1,15","2,4",7,6,9,4,16,10,9,10,19,"1,29","10,5","4,38","1,17","4,8","1,29","3,3","1,91","2,37","1,9","1,8","2,45","1,49"
36,7380357,Brazil Serie B,2024,2024-05-11 17:00:00,4,Guarani,Botafogo SP,1,0,1,2,0,2,"['22', '66']",[],"2,75","1,91","5,5","1,57","2,25","3,7","1,22","10,2","1,03","1,9","3,05","4,3","1,1","6,5","1,5","2,45","2,44","1,49","2,38","1,53","1,2","1,28","1,85",0,1,"1,5","0,5","3,34","1,49","4,83",6,3,5,9,11,12,5,4,9,"1,51","7,6","3,26","1,24","3,75","1,45","2,55","2,25","1,9","2,32","1,54","3,1","1,32"
37,7380363,Brazil Serie B,2024,2024-05-11 17:00:00,4,Operário PR,Ponte Preta,1,0,1,1,1,2,['26'],['90+6'],"2,75","1,91","5,5","1,58","2,29","3,8","1,24","10,5","1,03","1,9","3,25","3,95","1,08",7,"1,47","2,5","2,62","1,43","2,5","1,5","1,18","1,33","1,87",3,0,2,"0,5","1,35","0,98","2,33",6,4,9,7,15,11,6,7,13,"1,38","7,6","4,1","1,18","4,6","1,28","3,35","1,91","2,37","1,9","1,8","2,45","1,49"
38,7380364,Brazil Serie B,2024,2024-05-11 17:00:00,4,Amazonas,Santos,1,0,1,1,0,1,['19'],[],"6,5","2,05","2,3","1,51","2,46","3,4","1,29","9,2","1,04","4,75","3,3","1,74","1,05",7,"1,42","2,57","2,18","1,62","2,25","1,57","2,04","1,28","1,15",0,3,"1,5","1,5","1,12","1,45","2,57",3,3,2,4,5,7,4,1,5,"2,71","8,2","1,67","1,24","3,48","1,5","2,4","2,38","1,85","2,4","1,5","3,3","1,29"
39,7380361,Brazil Serie B,2024,2024-05-11 21:00:00,4,Avaí,Coritiba,0,0,0,1,0,1,['85'],[],"3,5","1,95","3,6","1,57","2,25","3,55","1,25","9,9","1,03","2,63","3,2","2,7","1,11","6,25","1,47","2,5","2,5","1,5","2,1","1,67","1,42","1,33","1,45",0,1,"1,5","0,5","1,33",0,"1,33",6,6,5,8,11,14,6,7,13,"2,1","7,4","2,05","1,17","4,8","1,3","3,25","1,83","2,47","1,85","1,85","2,35","1,52"
